游戏名称,上架平台,游戏类型,上架时间,开发者,备注,访问链接
海底大胃王,手机(平板可下载),休闲益智,2025/08/27,厦门有橘子网络科技有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio.hddww.huawei&channelId=SHARE
飞索特攻队,手机(平板可下载),休闲益智,2025/08/27,厦门有橘子网络科技有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio.fstgd.huawei&channelId=SHARE
时尚娃娃换装,手机(平板可下载),休闲益智,2025/08/27,厦门梅普露网络科技有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.sswwhz.huawei&channelId=SHARE
咸鱼很闲,手机(平板可下载),休闲益智,2025/08/27,厦门梅普露网络科技有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.xyhx.huawei&channelId=SHARE
梦想城镇,手机和平板,经营策略,2025/08/27,北京阿特瑞科技发展有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.playrix.township.chukong.hm.HUAWEI&channelId=SHARE
咪嘟消星星,手机和平板,休闲益智,2025/08/27,沈阳纵艺科技有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.zykeji.mdxxx.huawei&channelId=SHARE
超能魔术手,手机和平板,休闲益智,2025/08/27,深圳市全支付科技开发有限公司,08/27新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.qzf.cnmss.hmservice&channelId=SHARE
萌猫海底乐园,手机(平板可下载),休闲益智,2025/08/27,厦门叶秋原网络科技有限公司,08/27新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.akibastudio.mmhd.huawei&channelId=SHARE
球球分类,手机(平板可下载),休闲益智,2025/08/27,长沙乐之游科技有限公司,08/27新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.lzy.qqfl.hap.huawei&channelId=SHARE
幸运大逃亡,手机(平板可下载),动作射击,2025/08/27,南京爱拉风软件有限公司,08/27新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ilovephone.xydtw.hap.huawei&channelId=SHARE
石膏娃娃涂色,手机(平板可下载),休闲益智,2025/08/26,深圳市智腾丰耀科技有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ztfy.sgwwts.hm.huawei&channelId=SHARE
脑洞拼图达人,手机(平板可下载),休闲益智,2025/08/26,深圳市智腾丰耀科技有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ztfy.ndptdr.hm.huawei&channelId=SHARE
山海经塔防挑战,手机和平板,休闲益智,2025/08/26,深圳市森灵游科技有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sly.shjtftzhap.huawei&channelId=SHARE
欢乐挪麻将,手机(平板可下载),休闲益智,2025/08/26,长沙梦元素科技有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.mys.hlnmj.hap.huawei&channelId=SHARE
一招放倒你,手机(平板可下载),休闲益智,2025/08/26,深圳无界互娱网络有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.xtm.yzfdnhm.huawei&channelId=SHARE
百变女神,手机(平板可下载),休闲益智,2025/08/26,深圳无界互娱网络有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.xtm.bbnshm.huawei&channelId=SHARE
改造美少女,手机(平板可下载),休闲益智,2025/08/26,深圳无界互娱网络有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.xtm.gzmsnhm.huawei&channelId=SHARE
山海经匹配五官,手机(平板可下载),休闲益智,2025/08/26,深圳腾逸科技有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ty.shjppwg.app.huawei&channelId=SHARE
秦始皇骑北极熊,手机(平板可下载),休闲益智,2025/08/26,深圳腾逸科技有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ty.qshqbjx.app.huawei&channelId=SHARE
樱花学校开学季,手机和平板,动作射击,2025/08/26,深圳腾逸科技有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ty.yhxxkxj.huawei&channelId=SHARE
山海经惊悚躲猫猫,手机和平板,休闲益智,2025/08/26,天津市快乐游科技有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tjkly.shjjsdmmhap.huawei&channelId=SHARE
组装山海经,手机(平板可下载),休闲益智,2025/08/26,天津市快乐游科技有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.kly.zzshjhap.huawei&channelId=SHARE
山海经纸牌配对,手机(平板可下载),休闲益智,2025/08/26,深圳阳阳无限科技有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.yywx.shjzppdhap.huawei&channelId=SHARE
夏日大消除,手机和平板,休闲益智,2025/08/26,北京云端启迪科技有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.xiaridxc.hm.huawei&channelId=SHARE
通通通木棍人,手机(平板可下载),休闲益智,2025/08/26,深圳市时间坊贸易有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sjf.tttmgr.app.huawei&channelId=SHARE
打造大女主,手机(平板可下载),休闲益智,2025/08/26,厦门梅普露网络科技有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.dzznz.huawei&channelId=SHARE
无尽的螺丝,手机(平板可下载),休闲益智,2025/08/26,厦门梅普露网络科技有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.wjdls.huawei&channelId=SHARE
翻滚吧渣男,手机(平板可下载),休闲益智,2025/08/26,厦门梅普露网络科技有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.fgbzn.huawei&channelId=SHARE
我飞镖贼六,手机(平板可下载),休闲益智,2025/08/26,厦门梅普露网络科技有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.wfbzl.huawei&channelId=SHARE
武器大作战,手机(平板可下载),动作射击,2025/08/26,南京兄游信息科技有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.bthgame.wqdzz.hap.huawei&channelId=SHARE
我是大高手,手机(平板可下载),动作射击,2025/08/26,南京兄游信息科技有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.bthgame.wsdgs.hap.huawei&channelId=SHARE
赛车迷宫,手机(平板可下载),体育竞速,2025/08/26,南京兄游信息科技有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.bthgame.scmgg.hap.huawei&channelId=SHARE
突突冲锋队,手机和平板,休闲益智,2025/08/26,深圳沄晗网络科技有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.yh.ttcfd.hmservice&channelId=SHARE
别躲射死你,手机和平板,动作射击,2025/08/26,广州悦道信息科技有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hm.ssn.huawei&channelId=SHARE
新闻记者的一天,手机和平板,休闲益智,2025/08/26,厦门很稳网络科技有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hw.xwjzdyt.hm.huawei&channelId=SHARE
无限尽头跑酷,手机(平板可下载),动作射击,2025/08/26,南京爱拉风软件有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ilovephone.wxjtpk.hap.huawei&channelId=SHARE
我的机械世界模拟器,手机(平板可下载),休闲益智,2025/08/26,深圳文游互娱网络有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sg.wdjxsjmnqhm.huawei&channelId=SHARE
开心麻将消消消,手机(平板可下载),休闲益智,2025/08/26,长沙梦元素科技有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.mys.kxmjxxx.hap.huawei&channelId=SHARE
跳跳派对,手机(平板可下载),休闲益智,2025/08/26,深圳峻冉信息技术有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hs.ttpdhm.huawei&channelId=SHARE
烧脑水排序,手机(平板可下载),休闲益智,2025/08/26,厦门奥茼程软件开发有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.yfjes.q2nso.hwj3.huawei&channelId=SHARE
海底无尽消除大闯关,手机(平板可下载),休闲益智,2025/08/26,厦门奥茼程软件开发有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.v04.y0a.e7nu.huawei&channelId=SHARE
青蛙呱呱跳,手机和平板,休闲益智,2025/08/26,厦门市晨曦光年科技有限公司,08/27新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmcxgnhm.qwggt.huawei&channelId=SHARE
精灵大作战,手机和平板,休闲益智,2025/08/26,深圳市全支付科技开发有限公司,08/27新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.fy.jldzz.hmservice&channelId=SHARE
绝地狙击手,手机和平板,动作射击,2025/08/26,徐州多乐网络科技有限公司,08/27新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.dl.hm.jdjjs.huawei&channelId=SHARE
开车高手模拟,手机和平板,体育竞速,2025/08/26,徐州多乐网络科技有限公司,08/27新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.dl.hm.kcgsmn.huawei&channelId=SHARE
开飞机模拟器,手机和平板,动作射击,2025/08/26,徐州多乐网络科技有限公司,08/27新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.dl.hm.kfjmnq.huawei&channelId=SHARE
时尚美甲达人,手机(平板可下载),经营策略,2025/08/26,厦门叶秋原网络科技有限公司,08/27新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.akibastudio.mjdr.huawei&channelId=SHARE
装扮爱豆3,手机(平板可下载),休闲益智,2025/08/26,厦门叶秋原网络科技有限公司,08/27新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.akibastudio.zbad3.huawei&channelId=SHARE
经典叠豆腐,手机(平板可下载),休闲益智,2025/08/26,长沙乐之游科技有限公司,08/27新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.lzy.jdddf.hap.huawei&channelId=SHARE
潜行狙击,手机和平板,动作射击,2025/08/26,厦门市晨曦光年科技有限公司,08/27新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmcxgnhm.qxjj.huawei&channelId=SHARE
胡闹搬家模拟,手机和平板,休闲益智,2025/08/26,厦门市晨曦光年科技有限公司,08/27新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmcxgnhm.hnbjmn.huawei&channelId=SHARE
节奏盒子通通通,手机(平板可下载),休闲益智,2025/08/26,深圳市掌上方舟科技有限公司,08/27新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.zsfz.jzhzttt.hm.huawei&channelId=SHARE
涂色大师,手机和平板,休闲益智,2025/08/26,沈阳纵艺科技有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.zykeji.tsds.huawei&channelId=SHARE
凡人修仙传：星海飞驰,手机和平板,角色扮演,2025/08/26,苏州创焱盛众信息技术有限公司,,https://appgallery.huawei.com/app/detail?id=com.frfxzxhfc.hm.huawei&channelId=SHARE
谁是找茬王者,手机(平板可下载),休闲益智,2025/08/26,深圳月升沧海信息技术有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hs.sszcwzhm.huawei&channelId=SHARE
精灵大师,手机和平板,休闲益智,2025/08/26,深圳神兽互动科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ss.jlds.hmservice&channelId=SHARE
蛛蛛历险记,手机和平板,休闲益智,2025/08/26,深圳神兽互动科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ss.zzlxj.hmservice&channelId=SHARE
粉碎工厂模拟器,手机和平板,休闲益智,2025/08/26,厦门很稳网络科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hw.fsgcmnq.hm.huawei&channelId=SHARE
一挖到底乐园,手机(平板可下载),休闲益智,2025/08/26,厦门有橘子网络科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio.ywly.huawei&channelId=SHARE
找一找眼力大师,手机(平板可下载),休闲益智,2025/08/26,厦门有橘子网络科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio.zyzylds.huawei&channelId=SHARE
谜题粉碎计划,手机(平板可下载),休闲益智,2025/08/26,厦门有橘子网络科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio.mtfs.huawei&channelId=SHARE
我爱做家务,手机(平板可下载),休闲益智,2025/08/26,南京观千剑网络科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.gqj.wazjwhm.huawei&channelId=SHARE
五彩缤纷消,手机(平板可下载),休闲益智,2025/08/25,深圳市聚玩乐网络科技有限公司,09/01新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.jwl.wcbfx.huawei&channelId=SHARE
控制大师,手机(平板可下载),休闲益智,2025/08/25,深圳峻冉信息技术有限公司,09/01新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sgb.kzdshm.huawei&channelId=SHARE
无敌机甲争霸战,手机(平板可下载),动作射击,2025/08/25,深圳峻冉信息技术有限公司,09/01新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sga.wdjjzbzhm.huawei&channelId=SHARE
街遛子传说,手机(平板可下载),休闲益智,2025/08/25,深圳无界互娱网络有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sgb.jlzcshm.huawei&channelId=SHARE
我的快餐店,手机和平板,休闲益智,2025/08/25,深圳佳翮网络科技有限公司,08/28新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.jh.wdkcd.hmservice&channelId=SHARE
城市拯救者,手机(平板可下载),经营策略,2025/08/25,南京山羊软件技术有限公司,08/27新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.goat.cszjz.hap.huawei&channelId=SHARE
疯狂鲨鱼,手机(平板可下载),角色扮演,2025/08/25,南京山羊软件技术有限公司,08/27新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.goat.fksy.hap.huawei&channelId=SHARE
猫咪与球,手机(平板可下载),休闲益智,2025/08/25,南京山羊软件技术有限公司,08/27新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.goat.mmyq.hap.huawei&channelId=SHARE
偷吃点心,手机和平板,休闲益智,2025/08/25,深圳神兽互动科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ss.tcdx.hmservice&channelId=SHARE
末日之路,手机和平板,休闲益智,2025/08/25,深圳神兽互动科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ss.mrzl.hmservice&channelId=SHARE
聚沙成岛,手机和平板,休闲益智,2025/08/25,厦门很稳网络科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hw.jscd.hm.huawei&channelId=SHARE
可乐工厂模拟器,手机和平板,休闲益智,2025/08/25,厦门很稳网络科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hw.kegcmnq.hm.huawei&channelId=SHARE
喵喵大乱斗,手机(平板可下载),休闲益智,2025/08/25,厦门有橘子网络科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio.catld.huawei&channelId=SHARE
军团出击,手机(平板可下载),休闲益智,2025/08/25,南京观千剑网络科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.gqj.jtcjhm.huawei&channelId=SHARE
机器人模拟器大乱斗,手机(平板可下载),休闲益智,2025/08/25,杭州游弋思网络科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.wshr.jqrmnqdldhm.huawei&channelId=SHARE
我的魔塔起源,手机(平板可下载),休闲益智,2025/08/25,杭州游弋思网络科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.wshr.wdmtqyhm.huawei&channelId=SHARE
热血江湖：归来,手机、平板和电脑,角色扮演,2025/08/25,上海悦腾网络科技有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.douyu.rxjhgl.hm.huawei&channelId=SHARE
美味餐厅模拟经营模拟器,手机和平板,休闲益智,2025/08/25,厦门市晨曦光年科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmcxgnhm.mwctmnjymnq.huawei
大宝剑刮鱼鳞,手机(平板可下载),休闲益智,2025/08/25,深圳市指点天下科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.zdtx.dbjgyl.app.huawei&channelId=SHARE
整理我在行,手机(平板可下载),休闲益智,2025/08/25,深圳任何网络科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.xtm.zlwzhhm.huawei&channelId=SHARE
小哥向前冲,手机(平板可下载),休闲益智,2025/08/25,深圳任何网络科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.xtm.xgxqchm.huawei&channelId=SHARE
恐龙大逆袭,手机(平板可下载),休闲益智,2025/08/25,深圳任何网络科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.xtm.kldnxhm.huawei&channelId=SHARE
怪兽防卫队,手机(平板可下载),休闲益智,2025/08/25,深圳任何网络科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.xtm.gsfwdhm.huawei&channelId=SHARE
怪物冲冲冲,手机(平板可下载),休闲益智,2025/08/25,深圳市智腾丰耀科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ztfy.gwccc.hm.huawei&channelId=SHARE
爆梗脑洞找茬王,手机(平板可下载),休闲益智,2025/08/25,深圳市掌上方舟科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.zsfz.bgndzcw.hm.huawei&channelId=SHARE
智强大脑,手机(平板可下载),休闲益智,2025/08/25,深圳市深空空网络科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.skk.zqdn.huawei&channelId=SHARE
脑力小神童,手机(平板可下载),休闲益智,2025/08/25,深圳市深空空网络科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.skk.nlxst.huawei&channelId=SHARE
堆积跳跃,手机(平板可下载),休闲益智,2025/08/25,南京兄游信息科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.bthgame.djty.hap.huawei&channelId=SHARE
指尖方块乐园,手机和平板,休闲益智,2025/08/23,广州悦道信息科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hm.zjfkly.huawei&channelId=SHARE
萌宠逃生对战,手机(平板可下载),休闲益智,2025/08/23,北京陌缘网络科技有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hmmoyuan9.huawei&channelId=SHARE
卡通塔防乱斗,手机(平板可下载),经营策略,2025/08/23,南京爱拉风软件有限公司,08/27新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ilovephone.kttfld.hap.huawei&channelId=SHARE
开心切切乐,手机(平板可下载),休闲益智,2025/08/23,长沙乐之游科技有限公司,08/27新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.lzy.kxqql.hap.huawei&channelId=SHARE
数码变异龙,手机(平板可下载),休闲益智,2025/08/23,深圳月升沧海信息技术有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hwa.smbylhm.huawei&channelId=SHARE
疯狂脑洞找茬高难度,手机(平板可下载),休闲益智,2025/08/23,深圳月升沧海信息技术有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sga.fkndzcgndhm.huawei&channelId=SHARE
我抽卡贼溜,手机(平板可下载),休闲益智,2025/08/23,深圳月升沧海信息技术有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ysch.wckzlhm.huawei&channelId=SHARE
角斗士试炼场,手机和平板,休闲益智,2025/08/23,厦门很稳网络科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hw.jdsslc.hm.huawei&channelId=SHARE
切糖果很疯狂,手机和平板,休闲益智,2025/08/23,厦门很稳网络科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hwwl.qtghfk.hm.huawei&channelId=SHARE
恶龙放下公主,手机和平板,休闲益智,2025/08/23,厦门很稳网络科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hwwl.elfxgz.hm.huawei&channelId=SHARE
挖沙工厂模拟器,手机和平板,休闲益智,2025/08/23,厦门很稳网络科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hw.wsgcmnq.hm.huawei&channelId=SHARE
机器人矿业公司,手机和平板,休闲益智,2025/08/23,厦门很稳网络科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hwwl.jqrkygs.hm.huawei&channelId=SHARE
海事航运大亨,手机和平板,休闲益智,2025/08/23,厦门很稳网络科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hwwl.hshydh.hm.huawei&channelId=SHARE
摧毁和建造,手机和平板,休闲益智,2025/08/23,厦门很稳网络科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hw.chhjz.hm.huawei&channelId=SHARE
快乐脑力乐园,手机(平板可下载),休闲益智,2025/08/23,厦门有橘子网络科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio.nlly.huawei&channelId=SHARE
换装变美美,手机(平板可下载),休闲益智,2025/08/23,南京观千剑网络科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.gqj.hzbmmhm.huawei&channelId=SHARE
逃脱小能手,手机(平板可下载),休闲益智,2025/08/23,南京观千剑网络科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.gqj.ttxnshm.huawei&channelId=SHARE
狂暴超人派对,手机(平板可下载),休闲益智,2025/08/23,南京兄游信息科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.bthgame.kbcrpd.hap.huawei&channelId=SHARE
牙医解压模拟器,手机(平板可下载),休闲益智,2025/08/23,杭州游弋思网络科技有限公司,08/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.wshr.yyjymnqhm.huawei&channelId=SHARE
笨鸟努努,手机和平板,休闲益智,2025/08/23,厦门市晨曦光年科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmcxgnhm.bnnn.huawei&channelId=SHARE
直击真相,手机和平板,角色扮演,2025/08/23,厦门市晨曦光年科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmcxgnhm.zjzx.huawei&channelId=SHARE
挖穿了地球,手机和平板,休闲益智,2025/08/23,厦门市晨曦光年科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmcxgnhm.wcldq.huawei&channelId=SHARE
合并一切模拟器,手机和平板,休闲益智,2025/08/23,厦门市晨曦光年科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmcxhm.hbyqmnq.huawei&channelId=SHARE
狂扁小盆友,手机和平板,角色扮演,2025/08/23,厦门市晨曦光年科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmcxgnhm.kbxpy.huawei&channelId=SHARE
收纳打包达人秀,手机(平板可下载),休闲益智,2025/08/23,海南合创共响网络科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hcgx.sndbdrxrhm.huawei&channelId=SHARE
文字小能手,手机(平板可下载),休闲益智,2025/08/23,海南合创共响网络科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sga.wzxnshm.huawei&channelId=SHARE
狙击外国山海经,手机和平板,休闲益智,2025/08/23,深圳市鸿鑫网络科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hxwl.jjwgshjhap.huawei&channelId=SHARE
丑女逆袭记,手机(平板可下载),休闲益智,2025/08/23,深圳腾逸科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ty.cnnxj.app.huawei&channelId=SHARE
女友整蛊计划,手机(平板可下载),休闲益智,2025/08/23,深圳腾逸科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ty.nyzgjh.app.huawei&channelId=SHARE
疯狂冲冲冲,手机和平板,休闲益智,2025/08/23,深圳市全支付科技开发有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.zf.fkccc.hmservice&channelId=SHARE
策略大师,手机和平板,休闲益智,2025/08/23,深圳市全支付科技开发有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.zf.clds.hmservice&channelId=SHARE
节奏盒子冰块版,手机(平板可下载),休闲益智,2025/08/23,深圳市指点天下科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.zdtx.jzhzbgb.app.huawei&channelId=SHARE
时尚公主沙龙派对,手机(平板可下载),休闲益智,2025/08/23,深圳无界互娱网络有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sga.ssgzslpdhm.huawei&channelId=SHARE
我爱烧烤,手机(平板可下载),经营策略,2025/08/23,厦门梅普露网络科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.wksk.huawei&channelId=SHARE
微恐音乐盒,手机(平板可下载),休闲益智,2025/08/23,厦门梅普露网络科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.wkyyh.huawei&channelId=SHARE
露露世界面包店,手机(平板可下载),经营策略,2025/08/23,厦门梅普露网络科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.llsjmbd.huawei&channelId=SHARE
公主请化妆,手机(平板可下载),休闲益智,2025/08/23,深圳任何网络科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.lyb.gzqhzhm.huawei&channelId=SHARE
保护狗头小萝莉,手机(平板可下载),休闲益智,2025/08/23,深圳任何网络科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.wyry.bhgtxllhm.huawei&channelId=SHARE
吞噬吧世界,手机(平板可下载),休闲益智,2025/08/23,深圳任何网络科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sgb.tsbsjhm.huawei&channelId=SHARE
超级水管工,手机(平板可下载),休闲益智,2025/08/23,深圳任何网络科技有限公司,08/25新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.wyry.cjsgghm.huawei&channelId=SHARE
