应用名称,上架平台,应用类型,上架时间,开发者,备注,访问链接
喵喵变声,手机(平板可下载),工具,2025/09/11,河北雄安谷趣信息科技有限公司,09/13新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.guqu.changesound&channelId=SHARE&source=appshare
轻简万年历,手机(平板可下载),工具,2025/09/11,广东极速网络科技有限公司,09/13新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jsty.calender.hm&channelId=SHARE&source=appshare
漫画动态壁纸,手机(平板可下载),主题,2025/09/11,北京智云智创科技有限公司,09/13新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.zhiyun3.hmapp&channelId=SHARE&source=appshare
AI吉他调音器,手机和平板,工具,2025/09/11,四川洗月科技有限公司,09/13新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xiyue.tuner.aiguitar.hm&channelId=SHARE&source=appshare
钢材价格通,手机(平板可下载),工具,2025/09/11,长沙铎匀网络科技有限公司,09/13新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.dy.gthm&channelId=SHARE&source=appshare
手持弹幕LED,手机、平板和电脑,工具,2025/09/11,成都小白里科技有限公司,09/13新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xbl.led&channelId=SHARE&source=appshare
维汉快速翻译,手机(平板可下载),教育,2025/09/11,沈阳喜焱网络科技有限公司杭州分公司,09/13新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.itibbra.yaqneue&channelId=SHARE&source=appshare
499乐园,手机(平板可下载),休闲娱乐,2025/09/11,贵阳恒芮通科技有限公司,09/13新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=xunlong.xiaofei.actern&channelId=SHARE&source=appshare
快玩手机数据换机助手,手机(平板可下载),工具,2025/09/11,长沙快玩乐园信息科技有限公司,09/13新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=kwxx.sjhj.skhoss&channelId=SHARE&source=appshare
测量AR尺子,手机(平板可下载),工具,2025/09/11,上海旻施听网络科技有限公司,09/13新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.mst.measurehm&channelId=SHARE&source=appshare
抓娃娃乐园,手机(平板可下载),购物,2025/09/11,长沙千豆网络科技有限公司,09/13新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.qiandou.clawdollpark_harmonyos&channelId=SHARE&source=appshare
水印相机拍照助手,手机(平板可下载),拍摄美化,2025/09/11,杭州一米米网络科技有限公司,09/13新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ymm.hm.syxjpzzs&channelId=SHARE&source=appshare
智能老照片修复王,手机(平板可下载),拍摄美化,2025/09/11,长沙海景信息技术有限公司,09/13新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.hjkj66.harmonyznlzpxfw&channelId=SHARE&source=appshare
相册照片管家,手机(平板可下载),拍摄美化,2025/09/11,贵阳辉沣科技有限公司,09/13新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=dgjg.hfaicc.jynjqsh&channelId=SHARE&source=appshare
码上取,手机和平板,工具,2025/09/11,潘旭,群友 志焕 提供,https://appgallery.huawei.com/app/detail?id=com.example.pickupapp&channelId=SHARE&source=appshare
抖快去水印,手机和平板,工具,2025/09/11,东莞市机米信息科技有限公司,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jime.qsys&channelId=SHARE&source=appshare
知音钢琴,手机(平板可下载),音乐,2025/09/11,刘智强,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ZY.piano&channelId=SHARE&source=appshare
快速浏览器,手机和平板,工具,2025/09/11,深圳市星空云网络有限公司,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xky_hm.quickbrowser&channelId=SHARE&source=appshare
ABC记谱法,手机(平板可下载),音乐,2025/09/11,李国荣,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.fkyf.abc&channelId=SHARE&source=appshare
手机电子邮箱,手机(平板可下载),商务,2025/09/11,合肥司云涯信息科技有限公司合肥分公司,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.lrejystd.yrdtpkbc&channelId=SHARE&source=appshare
慧新易校,手机(平板可下载),工具,2025/09/11,北京新中新诚通信息技术股份有限公司,群友 衡宽之气在勇警 提供,https://appgallery.huawei.com/app/detail?id=com.synjones.mobilegroup.ECampus.hm&channelId=SHARE&source=appshare
湘行一卡通,手机(平板可下载),出行导航,2025/09/11,长沙公交智慧大数据科技有限公司,群友 Aprilγ 提供,https://appgallery.huawei.com/app/detail?id=com.txmpay.csewalletHOS&channelId=SHARE&source=appshare
黄河银行,手机(平板可下载),金融理财,2025/09/11,宁夏黄河农村商业银行股份有限公司,,https://appgallery.huawei.com/app/detail?id=com.yrrcb.HmosMobileBank&channelId=SHARE&source=appshare
小伴龙优学,手机和平板,儿童,2025/09/11,深圳市有伴科技有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.youban.xblyx&channelId=SHARE&source=appshare
证件照,手机(平板可下载),拍摄美化,2025/09/11,上海所清宁网络科技有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.lugenglv.idcamerahm&channelId=SHARE&source=appshare
体重伙伴,手机(平板可下载),工具,2025/09/11,中软国际科技服务有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chinasoft.tools.api12.weightpartner&channelId=SHARE&source=appshare
智慧问答,手机(平板可下载),教育,2025/09/11,中软国际科技服务有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chinasoft.tools.api12.zhihuiwenda&channelId=SHARE&source=appshare
忘忧伙伴,手机(平板可下载),商务,2025/09/11,中软国际科技服务有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chinasoft.tools.api12.wangyouhuoban&channelId=SHARE&source=appshare
铃声剪辑,手机和平板,拍摄美化,2025/09/11,深圳市动序科技有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=io.microshow.music.hm&channelId=SHARE&source=appshare
花卉绿植多肉大全,手机和平板,工具,2025/09/10,滨州幻境网络科技有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.example.lvzhidaquan&channelId=SHARE&source=appshare
成语小帮手,手机(平板可下载),休闲娱乐,2025/09/10,贵阳利献弗科技有限公司,09/23新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=tuling.xiaozhu.actera&channelId=SHARE&source=appshare
英语三级冲刺加油站,手机(平板可下载),教育,2025/09/10,长沙聚优教育咨询有限公司,09/18新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.qxhms.cetthreejy&channelId=SHARE&source=appshare
鸟-鸟类百科,手机(平板可下载),工具,2025/09/10,郑州寻山文化传媒有限公司,09/18新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.dayushaiwang.newbird&channelId=SHARE&source=appshare
语音控制计算器,手机(平板可下载),工具,2025/09/10,合肥好多鑫网络科技有限公司,09/18新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.hdx.yykzjsq.hm.phone&channelId=SHARE&source=appshare
物理计算器,手机(平板可下载),工具,2025/09/10,合肥好多鑫网络科技有限公司,09/18新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.hdx.wljsq.hm.phone&channelId=SHARE&source=appshare
云雨,手机(平板可下载),工具,2025/09/10,朱宏超,09/17新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.telamifly.studio.YunYu&channelId=SHARE&source=appshare
安全工程师鸣题库,手机(平板可下载),教育,2025/09/10,重庆博余鸣科技有限公司,09/16新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.bym.hm.anquan&channelId=SHARE&source=appshare
好物集汇,手机(平板可下载),购物,2025/09/10,九天云（陕西）科技有限公司,09/16新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.jtymycoming.devtool&channelId=SHARE&source=appshare
智能AI绘画大师,手机(平板可下载),工具,2025/09/10,北京贵真网络科技有限公司,09/16新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.guizhen1.hmapp&channelId=SHARE&source=appshare
头像精选,手机、平板和电脑,社交,2025/09/10,辽宁宸译科技有限公司,09/15新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chenyi.headPortrait&channelId=SHARE&source=appshare
摩斯密码 2025,手机和平板,工具,2025/09/10,重庆豆花科技有限公司,09/15新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.douhua.morsecode&channelId=SHARE&source=appshare
初高中物理通,手机和平板,教育,2025/09/10,滨州幻境网络科技有限公司,09/15新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.huanjing.wuligongshi&channelId=SHARE&source=appshare
图解计算机网络,手机和平板,工具,2025/09/10,南京鸢尾蓝网络科技有限公司,09/14新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.iris.n408&channelId=SHARE&source=appshare
AI周公解梦,手机和平板,工具,2025/09/10,成都小白里科技有限公司,09/13新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xbl.jiemeng&channelId=SHARE&source=appshare
AI创作师,手机(平板可下载),工具,2025/09/10,深圳麦恋网络科技有限公司,09/13新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.mailian.aiczs&channelId=SHARE&source=appshare
高清壁纸锁屏,手机(平板可下载),主题,2025/09/10,杭州麦得金网络科技有限公司,09/13新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.mdj.hm.gqbzsp&channelId=SHARE&source=appshare
测量仪工地,手机(平板可下载),工具,2025/09/10,南京立来信息科技有限公司,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.njll.zaoyinfbyhm&channelId=SHARE&source=appshare
国际象棋入门,手机(平板可下载),教育,2025/09/10,广州亿书科技有限公司,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yishupro.camera&channelId=SHARE&source=appshare
文件隐藏大师,手机和平板,工具,2025/09/10,本溪市平山区鑫开元电脑经销部,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.qm.relaxed.hide&channelId=SHARE&source=appshare
酷酷学成语,手机和平板,教育,2025/09/10,石家庄七火科技有限公司,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=top.sevenfire.ccIdioms&channelId=SHARE&source=appshare
酷酷水印大师,手机和平板,工具,2025/09/10,石家庄七火科技有限公司,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=top.sevenfire.Watermark&channelId=SHARE&source=appshare
心情树洞,手机(平板可下载),工具,2025/09/10,张二龙,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.porsche.mood.tree.hole&channelId=SHARE&source=appshare
每日早看,手机(平板可下载),资讯,2025/09/10,北京掌中科技有限公司,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.smart.harmonyApp.zhangzhong.everyMorningReader&channelId=SHARE&source=appshare
RiceUI,手机和平板,工具,2025/09/10,刘立志,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.rice.xui&channelId=SHARE&source=appshare
文言文字典-学生常用字字典,手机(平板可下载),教育,2025/09/10,季怀奇,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.fantasywind.wywzd&channelId=SHARE&source=appshare
博傲金题,手机和平板,教育,2025/09/10,北京众智博傲科技有限公司,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ykpass.hw.boaojinti&channelId=SHARE&source=appshare
译多多,手机和平板,教育,2025/09/10,南昌凌侠科技有限公司,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.authbox.translate&channelId=SHARE&source=appshare
轻语记,手机(平板可下载),工具,2025/09/10,赵俊,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.guqu.qingyuji&channelId=SHARE&source=appshare
驾考顺利通,手机(平板可下载),汽车,2025/09/10,厦门美柿科技有限公司,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.msnothing.jiakao&channelId=SHARE&source=appshare
哈工大,手机和平板,教育,2025/09/10,哈尔滨工业大学,群友 让一切随风 提供,https://appgallery.huawei.com/app/detail?id=cn.edu.hit.welink.hm&channelId=SHARE&source=appshare
首茂云,手机和平板,工具,2025/09/10,北京领胜创展管理咨询有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=smy.apk.prod&channelId=SHARE&source=appshare
卫星雷达气象地图,手机和平板,生活服务,2025/09/10,上海所清宁网络科技有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.lanpingtech.weixinghm&channelId=SHARE&source=appshare
手机室内温度计实时,手机和平板,工具,2025/09/10,上海所清宁网络科技有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.suoqingning.wdjihm&channelId=SHARE&source=appshare
鲜食记,手机和平板,美食,2025/09/10,杨志荣,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.dee.fridge&channelId=SHARE&source=appshare
熊孩子多巴胺,手机(平板可下载),工具,2025/09/10,庞亚静,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=Child.com.Manage&channelId=SHARE&source=appshare
AI家智控,手机(平板可下载),工具,2025/09/10,艾欧史密斯（中国）水系统有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.aosmith.ailinkohos&channelId=SHARE&source=appshare
作业计时,手机(平板可下载),工具,2025/09/10,中软国际科技服务有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chinasoft.tools.api12.homework&channelId=SHARE&source=appshare
青青木鱼,手机(平板可下载),工具,2025/09/10,中软国际科技服务有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chinasoft.tools.api12.woodenfish&channelId=SHARE&source=appshare
MarryU相亲交友,手机和平板,社交,2025/09/10,杭州迈优文化创意有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.marryu.hm&channelId=SHARE&source=appshare
数智易正,手机(平板可下载),商务,2025/09/10,浙云马智慧科技有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.com.yunma.company.hmy&channelId=SHARE&source=appshare
爆亮手电筒,手机(平板可下载),工具,2025/09/10,上海京回网络科技有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jingback.hm.flashlight&channelId=SHARE&source=appshare
地震预警全球版,手机(平板可下载),生活服务,2025/09/10,上海京回网络科技有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jingback.hm.dizhen&channelId=SHARE&source=appshare
东莞农商银行,手机(平板可下载),金融理财,2025/09/10,东莞农村商业银行股份有限公司,群友 让一切随风 提供,https://appgallery.huawei.com/app/detail?id=com.drcbank.sappharmony&channelId=SHARE&source=appshare
飞卢小说,手机和平板,阅读与工具书,2025/09/10,北京创阅科技有限公司,群友 Aprilγ 提供,https://appgallery.huawei.com/app/detail?id=com.faloo.bookreaderhm&channelId=SHARE&source=appshare
神图定制,手机(平板可下载),拍摄美化,2025/09/10,贵阳泽清科技有限公司,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.shent.dizig&channelId=SHARE&source=appshare
车保养记录,手机(平板可下载),工具,2025/09/09,倪俊,09/19新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.widget4.icar.huawei&channelId=SHARE&source=appshare
骑车学单词,手机(平板可下载),儿童,2025/09/09,丙文科技（唐山）有限责任公司,09/17新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.flmb.QCXDC.HUAWEI&channelId=SHARE&source=appshare
健康管理师鸣题库,手机(平板可下载),教育,2025/09/09,重庆博余鸣科技有限公司,09/16新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.bym.hm.jiankangguanli&channelId=SHARE&source=appshare
精膳通智慧食堂,手机和平板,美食,2025/09/09,广州光芸科技有限公司,09/16新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.ggxun.rest&channelId=SHARE&source=appshare
智能语音翻译官,手机(平板可下载),教育,2025/09/09,福州亿游联盟网络科技有限公司,09/16新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.znfyg.app.huawei&channelId=SHARE&source=appshare
高考志愿AI院校专业填报,手机(平板可下载),教育,2025/09/09,南京玄亨科技有限公司,09/15新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.kais.gaokaohm&channelId=SHARE&source=appshare
罗盘海拔仪,手机(平板可下载),工具,2025/09/09,南京玄亨科技有限公司,09/15新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xuanheng.lphm&channelId=SHARE&source=appshare
空调伴侣,手机(平板可下载),工具,2025/09/09,济南舒立信息技术有限公司,09/15新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=dfgy.hge.rdh.hm&channelId=SHARE&source=appshare
小魔女传奇,手机和平板,儿童,2025/09/09,宝宝巴士股份有限公司,09/14新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.sinyee.babybus.magician.hos&channelId=SHARE&source=appshare
相遇之地,手机(平板可下载),拍摄美化,2025/09/09,泉州丰泽邦邦两拳科技有限公司,09/14新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.QZFZ.BBLQ.XiangYuZhiDi&channelId=SHARE&source=appshare
小老板进销存,手机(平板可下载),工具,2025/09/09,惠州市奕创科技有限公司,09/14新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yichuang.ycbosstoolhos&channelId=SHARE&source=appshare
多任务计算器,手机(平板可下载),工具,2025/09/09,尹春德,09/14新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.abouttime.calculator&channelId=SHARE&source=appshare
Go语言宝典,手机和平板,工具,2025/09/09,南京鸢尾蓝网络科技有限公司,09/14新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.iris.go&channelId=SHARE&source=appshare
bmi指数计算器,手机(平板可下载),工具,2025/09/09,贵阳槐雨科技有限公司,09/14新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=dsfhrgtdy.maita.fugeifs&channelId=SHARE&source=appshare
图片编辑模板制作,手机(平板可下载),工具,2025/09/09,贵阳槐雨科技有限公司,09/14新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=leiting.xiaofeil.xiaokel&channelId=SHARE&source=appshare
量子探险,手机(平板可下载),工具,2025/09/09,南京海豚元沣大数据科技有限公司,09/14新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.huawei.liangtan&channelId=SHARE&source=appshare
磨闪英语,手机和平板,儿童,2025/09/09,马树猛,09/13新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ma.english&channelId=SHARE&source=appshare
台球追分记分,手机和平板,工具,2025/09/09,金佳军,09/13新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=zhuifen.huawei.com&channelId=SHARE&source=appshare
手写签名助手,手机(平板可下载),工具,2025/09/09,湖北捷畅同辉科技有限公司,09/13新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jiechang.xjctextsignhos&channelId=SHARE&source=appshare
电子木鱼-看得见的功德,手机(平板可下载),休闲娱乐,2025/09/09,海口探码科技有限公司,09/13新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.example.woodenFish.1&channelId=SHARE&source=appshare
姨妈月记本,手机(平板可下载),工具,2025/09/09,长沙快玩乐园信息科技有限公司,09/13新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=hjzs.zxxc.xysae&channelId=SHARE&source=appshare
流程图助手,手机(平板可下载),工具,2025/09/09,张颖旋,09/13新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.kathy.flowchart&channelId=SHARE&source=appshare
中国橡棋,手机(平板可下载),教育,2025/09/09,李海明,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.openios.qftv&channelId=SHARE&source=appshare
维生素大全,手机(平板可下载),运动健康,2025/09/09,胡梦萦,09/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.miya.weishengsu&channelId=SHARE&source=appshare
阳光高考网2026填志愿,手机(平板可下载),教育,2025/09/09,世纪海外（北京）文化传媒有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.sjhw.gaokaohm&channelId=SHARE&source=appshare
模拟门禁卡,手机(平板可下载),工具,2025/09/09,济南市掌通机动车检测服务有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=zyj.ewm.gfz.hm&channelId=SHARE&source=appshare
智能钥匙,手机(平板可下载),工具,2025/09/09,济南欣笑软件科技有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.bearhugmedia.knxeyhm&channelId=SHARE&source=appshare
高清壁纸库,手机、平板和电脑,主题,2025/09/09,辽宁宸译科技有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chenyi.wallpaperLibrary&channelId=SHARE&source=appshare
有咔相机,手机(平板可下载),拍摄美化,2025/09/09,杭州左唐科技有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.zt.hm.ykxj&channelId=SHARE&source=appshare
魔方大师,手机(平板可下载),休闲娱乐,2025/09/09,深圳市幻实科技有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.fancyar.mcmasterhos&channelId=SHARE&source=appshare
传统颜色,手机(平板可下载),工具,2025/09/09,张越,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=zy.chuantongyanse.com&channelId=SHARE&source=appshare
记分便签,手机(平板可下载),工具,2025/09/09,中软国际科技服务有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chinasoft.tools.api12.jifenbianqian&channelId=SHARE&source=appshare
美名腾姓名测试打分,手机和平板,生活服务,2025/09/09,北京美名腾网络技术有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.meimingteng.hwceming&channelId=SHARE&source=appshare
中考地理通,手机(平板可下载),教育,2025/09/09,广州墨云信息科技有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.moyun365.harm.zkgeography&channelId=SHARE&source=appshare
扫描文档助手,手机和平板,工具,2025/09/09,长沙飞启源网络科技有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.hmfly.scan&channelId=SHARE&source=appshare
戒条,手机(平板可下载),工具,2025/09/09,上海浩烨互联网络科技有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=site.tootop.jieduan_ohos&channelId=SHARE&source=appshare
验屏宝,手机和平板,工具,2025/09/09,上海西鸭侠科技有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.spinner.screenchecker&channelId=SHARE&source=appshare
小夏手持弹幕,手机和平板,工具,2025/09/09,深圳市斗图科技有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yinyuejianji.danmu&channelId=SHARE&source=appshare
教师助手,手机和平板,教育,2025/09/09,成都交大电子有限责任公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jddz.jszs&channelId=SHARE&source=appshare
科力辰,手机、平板和电脑,资讯,2025/09/09,科力辰（贵州）科技有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.kelichen.app.kjywdsjpt.hm&channelId=SHARE&source=appshare
小医智算助手,手机、平板和电脑,工具,2025/09/09,丁策,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.example.xiaoyizhisuan&channelId=SHARE&source=appshare
名片识别王,手机(平板可下载),工具,2025/09/09,长沙源汇泽网络科技有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yuanhuize.harmonympsbw&channelId=SHARE&source=appshare
不想吃药药,手机和平板,工具,2025/09/09,李锦成,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.ljcljc.drag&channelId=SHARE&source=appshare
植物成长记,手机和平板,工具,2025/09/09,李锦成,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.ljcljc.plant&channelId=SHARE&source=appshare
记物Reminder,手机和平板,工具,2025/09/09,李锦成,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.ljcljc.reminder&channelId=SHARE&source=appshare
配音鸭,手机(平板可下载),工具,2025/09/09,合肥醉畅网络科技有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.zuichang.hm.pyy&channelId=SHARE&source=appshare
音准匠作pro,手机(平板可下载),音乐,2025/09/09,马登卿,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.example.qinjiaoaitiaoyinqi&channelId=SHARE&source=appshare
小助眠,手机(平板可下载),运动健康,2025/09/09,成都森淼湖科技有限公司,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.smlake.sleep.hos&channelId=SHARE&source=appshare
12天减肥计划,手机(平板可下载),运动健康,2025/09/09,张京,09/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.zj.loseweight&channelId=SHARE&source=appshare
棋者象棋,手机和平板,体育,2025/09/09,深圳市棋者网络科技有限公司,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.paishen.qizheharmony&channelId=SHARE&source=appshare
九州智药通,手机和平板,商务,2025/09/09,九州通医药集团股份有限公司,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yjj.supplier&channelId=SHARE&source=appshare
卡片森林,手机(平板可下载),教育,2025/09/09,尹春德,09/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.abouttime.studycard&channelId=SHARE&source=appshare
全球网测,手机(平板可下载),工具,2025/09/09,中国信息通信研究院,此前已上架手机端，此次新增平板端分发,https://appgallery.huawei.com/app/detail?id=com.cnspeedtest.hmos.globalspeed&channelId=LAUNCHERSHARE
小训练,手机(平板可下载),工具,2025/09/09,庞亚静,09/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=Vision.com.Training&channelId=SHARE&source=appshare
恐龙大百科,手机(平板可下载),教育,2025/09/09,郑州寻山文化传媒有限公司,09/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.dayushaiwang.konglong&channelId=SHARE&source=appshare
超牛健记,手机(平板可下载),工具,2025/09/09,郑州寻山文化传媒有限公司,09/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.dayushaiwang.jianshen&channelId=SHARE&source=appshare
声音工具箱,手机(平板可下载),工具,2025/09/09,软通动力信息技术（集团）股份有限公司,09/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.isoftstone.SoundMaster&channelId=SHARE&source=appshare
服装圈,手机和平板,商务,2025/09/09,杭州雨沛网络科技有限公司,09/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.sds.fzq365&channelId=SHARE&source=appshare
轻时钟,手机(平板可下载),效率,2025/09/08,南京哈莫领创科技有限公司,09/17新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.hamo.clock&channelId=SHARE&source=appshare
闪应,手机(平板可下载),工具,2025/09/08,软通动力信息技术（集团）股份有限公司,09/17新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.isoftstone.shanying&channelId=SHARE&source=appshare
成语词典成语故事,手机、平板和电脑,教育,2025/09/08,辽宁鲲鹏科技有限公司,09/16新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.kunpeng.chengyucidian&channelId=SHARE&source=appshare
